Dakar;228906;229949;458855;18.50
Diourbel;150296;142992;293287;11.80
Fatick;7889;73683;151772;6.10
Kaffrine;62458;59832;122290;4.90
Kaolack;101503;93922;195425;7.90
Kédougou;15171;14536;29707;1.20
Kolda;7095;66164;136259;5.50
Louga;73558;78203;151761;6.10
Matam;62403;59127;121530;4.90
Saint-Louis;85230;79985;165215;6.70
Sédhiou;49195;45794;94989;3.80
Tambacounda;73315;69235;142550;5.70
Thiès;163846;154331;318177;12.80
Ziguinchor;50758;47609;98368;4.00
Sénégal;1264823;1215362;2480184;100.00
